Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
deezadams,$750.00,Yes,,Good,$750,$511.93,-$238.07,-$238.07,$0.00,$0.00,No,0.00%,In Progress,,$60.22,,2925,2925,,
recahl,$200.00,Yes,,Good,$200,$0.00,-$200.00,-$200.00,$0.00,$0.00,No,0.00%,In Progress,,,People Leave ->,0,2925,total after bs,
wifahat (wifa),$100.00,Yes,,Good,$100,$161.00,$61.00,$61.00,$61.00,$0.00,Yes,0.00%,Complete,,,,P/L Sum,Sent/Tips Sum,Game Profit,Tips % of Profit
ddavidl (detr),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,should be 0 at end:,$0.00,$939.42,939.62,6.41%
donuttaker (donny),$50.00,Yes,,Good,$50,$132.54,$82.54,$82.54,$77.00,$5.54,No,6.71%,In Progress,,,,,,,
gene (john locke),$50.00,Yes,,Good,$50,$106.66,$56.66,$56.66,$53.00,$3.66,Yes,6.46%,Complete,,,,Credit Sum,Receive Sum,In-Game,
cris,$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,,,,"$2,875",$50.00,$0.00,
drew,$100.00,Yes,,Good,$100,$82.44,-$17.56,-$17.56,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
Jmoney24,$300.00,Yes,,Good,$300,$116.51,-$183.49,-$183.49,$0.00,$0.00,No,0.00%,In Progress,,Pokernow Link:,https://www.pokernow.club/games/pglfH4OFrHpPipRA0bXEqUfcS,,,,
Frankie (FD),$500.00,Yes,,Good,$500,$763.41,$263.41,$263.41,$245.00,$18.41,No,6.99%,In Progress,,,,,,,
rabaaz ,$100.00,Yes,,Good,$100,$266.89,$166.89,$166.89,$157.00,$9.89,Yes,5.93%,Complete,,,,,,,
Br1ann88 (Br1),$50.00,Yes,,Good,$50,$228.11,$178.11,$178.11,$169.20,$8.91,No,5.00%,In Progress,,,,,,,
vik,$100.00,Yes,,Good,$100,$109.95,$9.95,$9.95,$6.00,$3.95,No,39.70%,In Progress,,WL:,,,,,
ragather (rag),$50.00,Yes,,Good,$50,$0.00,-$50.00,-$50.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
bj1527 (yanited),$200.00,Yes,,Good,$200,$118.37,-$81.63,-$81.63,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
abyan (luckbox),$50.00,Yes,,Good,$50,$141.25,$91.25,$91.25,$86.00,$5.25,Yes,5.75%,Complete,,,,,,,
Zediic ,$75.00,Yes,,Good,$75,$75.20,$0.20,$0.20,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
dangdaniel,$50.00,Yes,,Good,$50,$79.61,$29.61,$29.61,$25.00,$4.61,No,15.57%,In Progress,,,,,,,
raj0904,$50.00,Yes,,Good,$50,$31.13,-$18.87,-$18.87,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,